feature,importance
num__effective_tax_rate,0.07197371477389986
num__lotsizesquarefeet,0.07117711263213426
num__taxamount,0.06549866650862296
num__latitude,0.06289513640648062
num__structuretaxvaluedollarcnt,0.05910932339466998
num__longitude,0.058724582454066684
num__calculatedfinishedsquarefeet,0.053658645655721544
num__taxvaluedollarcnt,0.04755949463141364
num__landtaxvaluedollarcnt,0.047016381043907776
num__finishedsquarefeet12,0.044479232382763384
num__regionidzip,0.040016947114846
num__structure_tax_ratio,0.03980278869153881
num__land_tax_ratio,0.036637238882636494
num__yearbuilt,0.03147336832101125
num__property_age,0.03125879456316725
num__transaction_month,0.02867726583949649
num__regionidneighborhood,0.025567090535517818
num__bedroomcnt,0.022480083120994553
num__bath_bed_ratio,0.02079522363071914
num__rawcensustractandblock,0.0206685441461003
num__censustractandblock,0.02018376155679433
num__regionidcity,0.01972621500355335
num__garagetotalsqft,0.012318820302301163
num__buildingqualitytypeid,0.01054486552472393
num__bathroomcnt,0.008626229057834502
num__propertylandusetypeid,0.0070754844477596435
num__heatingorsystemtypeid,0.006623623407346496
num__transaction_quarter,0.00587272618058685
num__roomcnt,0.00572759393998112
num__calculatedbathnbr,0.005253338778196119
num__unitcnt,0.003945633245753346
num__fullbathcnt,0.0033479045658904947
num__transaction_year,0.0020576046195337947
num__data_year,0.001960882007342663
num__garagecarcnt,0.0017679650950763277
num__assessmentyear,0.001759928283826379
num__airconditioningtypeid,0.0015751597467082328
num__hashottuborspa,0.0011190814560163302
num__regionidcounty,0.0007592365352204052
num__fips,0.0002801191043132707
num__fireplaceflag,4.192411532428816e-06
